geo,name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
pan,Panama,,,,,,,,,,,83.9,69.3,61.7,65.8,60.7,61.7,76.7,71.3,68,43,66,83.6,59.4,59.6,42.4,60.3,80.5,64.9,55.6,58.5,52.7,49.2,35.4,45.5,40,81.5,63.2,59.45,
per,Peru,,,,,,,,,,,,,185,,,,,118.3,123.8,120.8,114.1,114.9,110.5,107.9,96.1,95.9,92.7,,80.6,83.5,78.3,63,68,65,55.9,80.9,87.4,,
phl,Philippines,,,,,,,,,,172,,,,,,,,,,,,,,221,,,,,,,,,,,,,,,
png,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,
prt,Portugal,,,,,,,,,,,,,,,,,,,,8.2,2.7,4.7,,,,,,,,,,,,,,20.1,8.8,13.1,
pry,Paraguay,,,,,,,,,,,130.7,123.3,101.8,110.9,114.4,164,159.7,182.1,174.1,153.5,128.5,121.4,127.3,117.4,125.3,100.8,88.8,84.9,96.3,63.9,81.8,86.4,67.3,70.8,67.6,78.9,160,90.5,84.6
pse,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,
rwa,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,
sau,Saudi Arabia,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
sdn,Sudan,,,,,,,,,,,,,,,,,,,,,638,,,,215.6,,,,,,,,,,,,,,
sen,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,153
sle,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,
slv,El Salvador,,,,,,,,,,,,,173,,,,,,,,71.2,,56.93,51.09,64.5,83.7,,42,38,52.6,42.3,27.4,31.1,28.6,,45.1,62.9,34.5,26.8
ssd,South Sudan,,,,,,,,,,,,,,,,,,,,,2037,,,,,,,,,,,,,,,,,,
sur,Suriname,,,,,,,,,,,,,,,,,,,,,115.5,107.4,184.3,,123,,82.5,,129.8,153.7,70.3,111.4,109.72131,,89.1,79.82,288.37,,
syc,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3053,,,,
syr,Syria,,,,,,,,,,,,,,,,,,,,,,,,56,52,,,,,,,,,,,,,,
tha,Thailand,,,,,,,,,,,,44.1,36.5,36.4,,,,,,44.5,37.4,41.6,,,,,,,,,,,,,,,,,
tls,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,
tto,Trinidad and Tobago,,,,,,,,,,,,38.9,70.4,44.7,,,,,,52.2,34.7544,66.33499,31.76452,55.30973,44.57073,67.36449,32.32236,37.10378,42.29895,26.21369,49.28536,33.07243,30.51013,12.33806,25.7,26.7,61.2,15.2,7.8
tun,Tunisia,,,,,,,,,68.9,,,,,,,,,,,,,,,44.8,,,,,,,,,,,,,,,
tur,Turkey,,,,,,,,,,,,,,,,,,,,,,,21.2,19.4,18.4,16.4,15.5,15.4,15.9,15.2,14.6,14.7,14.5,13.6,13.1,,,,
tza,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,
uga,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,
ury,Uruguay,,,,,,,,,,,22.9,18.7,30.2,20.1,11.1,17.1,36.6,34.6,21.7,18,19.1,12.7,27.4,14.8,33.9,14.8,8.6,10.4,18.5,18.6,22.5,19.1,18.6,14.9,13.3,22.3,52,3.1,19.1
usa,USA,,,,,,,,,,,7.1,7.6,8.4,7.1,9.9,9.8,9.9,8.9,12.1,13.1,15.1,13.3,12.7,,,,,,,,,,,17.4,20.1,23.8,32.9,22.3,
vct,St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,53.5,115.1,54.3,,57.3,207.9,,,77.2,76.7,77.3,
ven,Venezuela,,,,,,,,,,,,,59.6,,59.3,60.1,67.2,68,57.8,,59.9,,56.8,62.9,73,69.3,73.3,69.8,68.7,82.4,80.24,132.84,122.66,125.44,,,,,
vnm,Vietnam,,,,,,,,,,,,,,,,,130,,,,,,,,69,,,,,,,,,,,,,,
yem,Yemen,,,,,,,,,,,,,,,,,,365,,,,,,,,,,148,,,,,,,,,,,
zaf,South Africa,,,,,,,,,,,,,,,,,,,,,,702,,,,,,,,,,475,125.89,117.69,98.82,126.06,148.1,109.6,
zmb,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,
